No,year,month,day,hour,PM25,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
549,2013,3,23,20,14,40,4,16,NA,73,5.2,1014.4,-12.8,0,NNE,2.3,Aotizhongxin
550,2013,3,23,21,11,30,3,13,NA,78,4.6,1015.3,-15.3,0,NNE,3.9,Aotizhongxin
551,2013,3,23,22,7,16,3,12,NA,78,3.9,1016,-14.9,0,NNE,2.8,Aotizhongxin
552,2013,3,23,23,5,18,3,12,NA,76,3.5,1016.7,-14.7,0,NE,2.1,Aotizhongxin
553,2013,3,24,0,6,14,3,11,NA,75,2.7,1017.3,-14,0,NNE,2.2,Aotizhongxin
554,2013,3,24,1,8,31,7,25,NA,57,2,1017.6,-13.4,0,NNE,2.4,Aotizhongxin
555,2013,3,24,2,10,24,6,27,NA,53,2,1017.7,-14.2,0,NNE,3.4,Aotizhongxin
556,2013,3,24,3,11,22,6,31,NA,46,1.6,1017.5,-14.1,0,NNE,3.3,Aotizhongxin
557,2013,3,24,4,13,25,7,37,NA,41,1.5,1017.7,-14.6,0,N,4.4,Aotizhongxin
558,2013,3,24,5,13,25,7,37,NA,36,1,1018.4,-13.9,0,NNE,2.8,Aotizhongxin
559,2013,3,24,6,18,36,7,52,NA,26,1.1,1018.7,-13.8,0,NNE,2.2,Aotizhongxin
560,2013,3,24,7,11,15,10,40,NA,39,2.8,1019.3,-14.4,0,N,2.3,Aotizhongxin
561,2013,3,24,8,14,26,10,38,NA,45,4.3,1019.5,-15.1,0,NNE,3.1,Aotizhongxin
562,2013,3,24,9,14,19,12,24,NA,56,5.6,1019.5,-16.3,0,NNW,3.9,Aotizhongxin
563,2013,3,24,10,3,10,11,16,NA,67,5.9,1019,-16,0,NNW,3,Aotizhongxin
564,2013,3,24,11,11,13,11,16,NA,70,7.5,1017.8,-15.4,0,NNW,2.7,Aotizhongxin
565,2013,3,24,12,10,12,13,15,NA,71,8.8,1016.3,-15,0,ENE,1.8,Aotizhongxin
566,2013,3,24,13,3,8,12,12,NA,76,9.7,1014.8,-12.2,0,W,2.7,Aotizhongxin
567,2013,3,24,14,4,8,10,12,NA,78,10.4,1013.6,-15.2,0,N,2,Aotizhongxin
568,2013,3,24,15,3,10,10,12,NA,81,10.6,1012.9,-12.1,0,SSW,1.9,Aotizhongxin
569,2013,3,24,16,9,16,11,13,NA,81,9.5,1012.7,-12.4,0,WSW,3.4,Aotizhongxin
570,2013,3,24,17,14,24,10,24,NA,73,7.9,1012.6,-11.5,0,WSW,3.7,Aotizhongxin
571,2013,3,24,18,23,48,10,41,NA,61,6.9,1013.1,-10.8,0,SW,4,Aotizhongxin
572,2013,3,24,19,32,74,11,62,NA,49.266,6.3,1014,-10,0,SW,3.3,Aotizhongxin
573,2013,3,24,20,43,101,19,67,NA,36.6282,5.9,1014.5,-10,0,SW,2.4,Aotizhongxin
574,2013,3,24,21,56,120,32,76,NA,26.775,5.2,1014.7,-9.4,0,WSW,2.2,Aotizhongxin
575,2013,3,24,22,61,114,29,86,NA,18.6354,2.6,1015.2,-8.2,0,WSW,1.1,Aotizhongxin
576,2013,3,24,23,55,108,29,78,NA,23,0.9,1015.8,-7.6,0,NW,0.4,Aotizhongxin
577,2013,3,25,0,56,108,30,79,NA,7.2828,0.3,1016.2,-4.3,0,E,0.4,Aotizhongxin
578,2013,3,25,1,66,121,51,99,NA,0.6426,-0.3,1016.4,-6.3,0,SE,1.1,Aotizhongxin
579,2013,3,25,2,73,121,42,105,NA,NA,0.5,1017,-6.8,0,NNE,1.3,Aotizhongxin
580,2013,3,25,3,79,140,26,95,NA,NA,0.3,1017.4,-5.1,0,NE,1.2,Aotizhongxin
581,2013,3,25,4,80,136,18,92,NA,NA,-0.6,1017.7,-4.5,0,NNE,1.3,Aotizhongxin
582,2013,3,25,5,71,113,10,87,NA,NA,-1.1,1018.1,-4.8,0,NE,1.7,Aotizhongxin
583,2013,3,25,6,71,95,8,83,NA,NA,-0.9,1018.1,-4.6,0,NNE,1.5,Aotizhongxin
584,2013,3,25,7,77,101,8,83,NA,NA,0.8,1018.5,-4.6,0,NE,1.9,Aotizhongxin
585,2013,3,25,8,108,166,58,83,NA,NA,2.7,1018.6,-4.8,0,ESE,0.6,Aotizhongxin
586,2013,3,25,9,120,166,150,85,NA,4.0698,4.3,1018.4,-5,0,E,2,Aotizhongxin
587,2013,3,25,10,121,160,129,94,NA,7.2828,6.5,1017.4,-5.2,0,ESE,1.1,Aotizhongxin
588,2013,3,25,11,110,136,89,88,NA,21.6342,7.8,1016.8,-5,0,ESE,1.9,Aotizhongxin
589,2013,3,25,12,111,124,73,85,NA,32.7726,9.2,1015.5,-5.5,0,SSE,2.3,Aotizhongxin
590,2013,3,25,13,119,142,69,100,NA,32.9868,10,1014.5,-5.6,0,S,3.1,Aotizhongxin
591,2013,3,25,14,124,168,60,102,NA,43.2684,10.6,1013.5,-5.4,0,SW,1.9,Aotizhongxin
592,2013,3,25,15,133,165,56,88,NA,65.7594,10.8,1013,-5.7,0,SSW,3,Aotizhongxin
